id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1JLzrXRCV1IBnOMdo7cCaM,DIP DIP,61,146400,1,"['Dree Low', 'Owen']","['3tNPDodRNuLdezJnTsYOqy', '0Q5gLNKbp5mpfEvquAaHCl']",10/03/2020,81.5,0.683,6,-7.154,0,0.215,0.203,4.89E-06,0.11,0.573,100.111,4
6gxKUmycQX7uyMwJcweFjp,We Paid (feat. 42 Dugg),80,181929,1,"['Lil Baby', '42 Dugg']","['5f7VJjfbwm532GiveGC0ZK', '45gHcnDnMC15sgx3VL7ROG']",01/05/2020,92.6,0.542,1,-5.064,1,0.293,0.135,0,0.0877,0.564,135.14,4
2pI0OyprOJssVYlqx9ZO3t,PAPÁS,66,193187,0,['Mau y Ricky'],['2wkoKEfS6dXwThbyTnZWFU'],06/08/2020,78.5,0.847,6,-3.182,0,0.0904,0.083,0,0.101,0.932,93.024,4
2iNZMMFEii4fU827NTyQ1J,Rap Da Akatsuki: Os Ninjas Mais Procurados Do Mundo (Nerd Hits),67,591299,0,['7 Minutoz'],['2563ILWHSx52eOxOoi5rJW'],12/05/2020,50,0.666,0,-7.784,1,0.124,0.226,0,0.361,0.332,115.996,4
5CZbxKM8Ibh3RmfB7xFAzm,Fendi,54,210000,1,"['Dirty Harry', 'TOQUEL', 'Ortiz']","['7BXe1v4YJm7R5wg2ioeA1q', '7AWAljMatr7bxddF4kWzXG', '6nidPawoE1wPgAtFmeyXyR']",23/10/2020,87.3,0.536,2,-9.273,1,0.0757,0.415,0,0.103,0.376,119.984,4
6sIE2GmdLDX8L96IEKmDls,All We Have Is Now,42,262356,0,['Charmaine Fong'],['1DgBVE3lCnC7Osg9zpAt6N'],10/07/2020,62.9,0.663,1,-7.078,0,0.0281,0.471,0,0.158,0.648,97.958,4
1K5KBOgreBi5fkEHvg5ap3,Life Is Good (feat. Drake),77,237918,1,"['Future', 'Drake']","['1RyvyyTE3xzB2ZywiAwp0i', '3TVXtAsR1Inumwj472S9r4']",15/05/2020,79.5,0.574,2,-6.903,0,0.487,0.067,0,0.15,0.537,142.053,4
4CdXSPryvRL6kmpFbs1qAR,<U+8907><U+5BEB> (More),45,186067,0,['Vast & Hazy'],['2O6Fn6smW8hJ5x9rOUDPJc'],04/12/2020,67.3,0.486,5,-6.837,0,0.0261,0.681,0.096,0.142,0.393,95.933,4
3hUxzQpSfdDqwM3ZTFQY0K,august,77,261923,0,['Taylor Swift'],['06HL4z0CvFAxyc27GXpf02'],24/07/2020,53.2,0.623,5,-9.208,1,0.0331,0.538,7.28E-05,0.0925,0.403,89.937,4
1kcdmVA4NgAvb1tveTD6xx,Sta Patomata,40,189136,0,['Lena Zevgara'],['3LE41qCjcf1FeakeVX7OxB'],10/12/2020,59.6,0.604,4,-5.712,0,0.0586,0.423,0,0.0855,0.288,75.977,4
